type_area,price,price_sqft,value_area_sqft,possession_year,ready_to_move,years_until_possession,bhk,project_name,locality,floor_type,floor_num,total_floors,transaction_code,furnishing_code,facing_angle,facing_North,facing_North-East,facing_East,facing_South-East,facing_South,facing_South-West,facing_West,facing_North-West,extra_Garden/Park,extra_Pool,extra_Main Road
1,3800000.0,6333.0,420.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,3000000.0,2778.0,1080.0,2025.0,1,0.0,2.0,550,125,0,4.0,5.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,3462.0,850.0,2025.0,1,0.0,2.0,662,216,1,5.0,12.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2500000.0,3125.0,560.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
1,4500000.0,5000.0,630.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,130,-1.0,0,0,0,0,0,0,0,0,1,1,1
3,3400000.0,5354.0,635.0,2025.0,1,0.0,1.0,905,79,1,8.0,14.0,1,84,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4500000.0,3333.0,1044.0,2025.0,1,0.0,2.0,660,137,1,1.0,4.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,1
1,2850000.0,3016.0,1125.0,2025.0,1,0.0,2.0,816,94,1,5.0,5.0,1,84,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4900000.0,2959.0,1159.0,2025.0,1,0.0,3.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4500000.0,4505.0,999.0,2025.0,1,0.0,2.0,42,34,1,1.0,12.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4300000.0,3413.0,1260.0,2025.0,1,0.0,2.0,322,66,1,8.0,12.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2300000.0,2911.0,553.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,3900000.0,3594.0,600.0,2025.0,1,0.0,2.0,974,180,1,6.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,3865.0,869.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4200000.0,5833.0,648.0,2025.0,1,0.0,1.0,1272,202,1,1.0,5.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3910000.0,3600.0,597.0,2025.0,1,0.0,2.0,974,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
